district_number,district_name,place,total_incidents,total_victims
3D,SILVER SPRING,Residence - Mobile Home,17,17.0
3D,SILVER SPRING,Residence - Nursing Home,403,410.0
3D,SILVER SPRING,Residence - Other,876,888.0
3D,SILVER SPRING,Residence - Shed,191,191.0
3D,SILVER SPRING,Residence - Single Family,7290,7514.0
3D,SILVER SPRING,Residence - Yard,739,762.0
3D,SILVER SPRING,Residence -Townhouse/Duplex,2381,2488.0
3D,SILVER SPRING,Restaurant,1914,1974.0
3D,SILVER SPRING,Retail - Appliances/Electronics,162,165.0
3D,SILVER SPRING,Retail - Beauty/Barber Shop,118,122.0
3D,SILVER SPRING,Retail - Clothing,692,694.0
3D,SILVER SPRING,Retail - Department/Discount Store,2111,2124.0
3D,SILVER SPRING,Retail - Drug Store/Pharmacy,994,997.0
3D,SILVER SPRING,Retail - Dry Cleaner,28,28.0
3D,SILVER SPRING,Retail - Hardware,172,174.0
3D,SILVER SPRING,Retail - Jewelry,38,38.0
3D,SILVER SPRING,Retail - Mall,538,553.0
3D,SILVER SPRING,Retail - Other,1007,1019.0
3D,SILVER SPRING,Retail - Salon/Spa,86,87.0
3D,SILVER SPRING,Retail - Sporting Goods,17,17.0
3D,SILVER SPRING,Retail - Video Store,8,8.0
3D,SILVER SPRING,School - College/University,18,18.0
3D,SILVER SPRING,School - Elementary/Secondary,1033,1088.0
3D,SILVER SPRING,School/College - DO NOT USE,904,931.0
3D,SILVER SPRING,Shelter-Mission/Homeless,295,307.0
3D,SILVER SPRING,Street - Alley,356,361.0
3D,SILVER SPRING,Street - Bus Stop,1010,1043.0
3D,SILVER SPRING,Street - Commercial,3528,3634.0
3D,SILVER SPRING,Street - In vehicle,8485,8529.0
3D,SILVER SPRING,Street - Other,2406,2461.0
3D,SILVER SPRING,Street - Residential,8101,8229.0
3D,SILVER SPRING,Theater,100,104.0
3D,SILVER SPRING,Wooded Area,74,80.0
4D,WHEATON,Abandoned/Condemned Structures,9,9.0
4D,WHEATON,Air/Bus/Train/Metro Terminal,196,203.0
4D,WHEATON,Arena/Stadium/Fairgrounds/Coliseum,2,2.0
4D,WHEATON,Atm Separate From Bank,8,8.0
4D,WHEATON,Auto Dealership,85,86.0
4D,WHEATON,Auto Repair,45,46.0
4D,WHEATON,Bank - ATM,288,290.0
4D,WHEATON,Bank/S&L/Credit Union,302,304.0
4D,WHEATON,Bar/Night Club,404,448.0
4D,WHEATON,Camp / Campground,2,2.0
4D,WHEATON,Check Cashing Est.,44,44.0
4D,WHEATON,Church/Synagogue/Temple,252,255.0
4D,WHEATON,Commercial - Industrial park,25,25.0
4D,WHEATON,Commercial - Office Building,274,278.0
4D,WHEATON,Community Center,18,18.0
4D,WHEATON,Construction Site,88,88.0
4D,WHEATON,Convenience Store,716,720.0
4D,WHEATON,Cyberspace,354,354.0
4D,WHEATON,Daycare Facility,23,23.0
4D,WHEATON,Doctor/Dentist/Vet Office,98,98.0
4D,WHEATON,Farm Facility,5,5.0
4D,WHEATON,Field/ Open Space,88,90.0
4D,WHEATON,Gas Station,550,556.0
4D,WHEATON,Golf Course,22,24.0
4D,WHEATON,Government Building,341,342.0
4D,WHEATON,Grocery/Supermarket,1415,1430.0
4D,WHEATON,Hospital/Emergency Care Center,286,302.0
4D,WHEATON,Hotel/Motel/Etc.,11,12.0
4D,WHEATON,Industrial Site,3,3.0
4D,WHEATON,Jail/Prison,17,17.0
4D,WHEATON,Lake/Waterway,9,9.0
4D,WHEATON,Laundromat,93,95.0
4D,WHEATON,Library,89,89.0
4D,WHEATON,Liquor Store - Beer & Wine,194,198.0
4D,WHEATON,Liquor Store - County,104,104.0
4D,WHEATON,Nursery,6,7.0
4D,WHEATON,Other/Unknown,5945,5947.0
4D,WHEATON,Park,353,356.0
4D,WHEATON,Parking Garage - Commercial,252,253.0
4D,WHEATON,Parking Garage - County,73,73.0
4D,WHEATON,Parking Garage - Metro,190,190.0
4D,WHEATON,Parking Garage - Other,52,52.0
4D,WHEATON,Parking Garage - Residential,359,370.0
4D,WHEATON,Parking Lot - Church,86,86.0
4D,WHEATON,Parking Lot - Commercial,2872,2930.0
4D,WHEATON,Parking Lot - County,314,316.0
4D,WHEATON,Parking Lot - Metro,69,69.0
4D,WHEATON,Parking Lot - Other,344,352.0
4D,WHEATON,Parking Lot - Park & Ride,15,15.0
4D,WHEATON,Parking Lot - Rec Center,47,47.0
4D,WHEATON,Parking Lot - Residential,4510,4554.0
4D,WHEATON,Parking Lot - School,205,212.0
4D,WHEATON,Pawn Shop,24,24.0
4D,WHEATON,Pedestrian Tunnel,3,3.0
4D,WHEATON,Pool,54,58.0
4D,WHEATON,Recreation Center,180,186.0
