district_number,district_name,crime_category_primary,crime_category_secondary,offense_count,incident_count,total_victims
TPPD,TAKOMA PARK,Crime Against Property,Arson,13,10,13.0
TPPD,TAKOMA PARK,Crime Against Property,Burglary/Breaking and Entering,622,622,622.0
TPPD,TAKOMA PARK,Crime Against Property,Counterfeiting/Forgery,76,75,76.0
TPPD,TAKOMA PARK,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,65,65,65.0
TPPD,TAKOMA PARK,Crime Against Property,Destruction/Damage/Vandalism of Property,1490,1483,1495.0
TPPD,TAKOMA PARK,Crime Against Property,Embezzlement,46,46,46.0
TPPD,TAKOMA PARK,Crime Against Property,Extortion/Blackmail,11,11,11.0
TPPD,TAKOMA PARK,Crime Against Property,False Pretenses/Swindle/Confidence Game,139,139,139.0
TPPD,TAKOMA PARK,Crime Against Property,From Coin/Operated Machine or Device,9,9,9.0
TPPD,TAKOMA PARK,Crime Against Property,Hacking/Computer Invasion,2,2,2.0
TPPD,TAKOMA PARK,Crime Against Property,Identity Theft,214,214,214.0
TPPD,TAKOMA PARK,Crime Against Property,Impersonation,24,24,24.0
TPPD,TAKOMA PARK,Crime Against Property,Motor Vehicle Theft,530,530,532.0
TPPD,TAKOMA PARK,Crime Against Property,Pocket/picking,14,14,14.0
TPPD,TAKOMA PARK,Crime Against Property,Purse-snatching,41,41,43.0
TPPD,TAKOMA PARK,Crime Against Property,Robbery,298,293,300.0
TPPD,TAKOMA PARK,Crime Against Property,Shoplifting,1655,1655,1655.0
TPPD,TAKOMA PARK,Crime Against Property,Stolen Property Offenses,32,31,32.0
TPPD,TAKOMA PARK,Crime Against Property,Theft from Building,349,349,349.0
TPPD,TAKOMA PARK,Crime Against Property,Theft From Motor Vehicle,1655,1655,1655.0
TPPD,TAKOMA PARK,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,343,343,343.0
TPPD,TAKOMA PARK,Crime Against Property,Welfare Fraud,13,13,13.0
TPPD,TAKOMA PARK,Crime Against Property,Wire Fraud,15,15,15.0
TPPD,TAKOMA PARK,Crime Against Society,All Other Offenses,3206,3173,3210.0
TPPD,TAKOMA PARK,Crime Against Society,Animal Cruelty,2,2,2.0
TPPD,TAKOMA PARK,Crime Against Society,Assisting or Promoting Prostitution,10,10,10.0
